# [l(l+1)/2pi] C_l's for tensor mode (units: [microK]^2)
# for l=2 to 500, i.e. number of multipoles equal to 499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
    2       4.911960888634e-01       8.193126774330e-06       1.499179678467e-05       6.199088645073e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    3       3.981241032131e-01       8.229774447424e-06       1.476872380015e-05       7.836387663705e-05       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    4       3.741950298588e-01       7.057200608745e-06       1.242121625438e-05      -8.184545894225e-05       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    5       3.671039730314e-01       5.270767713939e-06       9.376833644391e-06      -1.241656223112e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    6       3.655530064003e-01       3.671295506798e-06       6.624221927241e-06      -1.278340971677e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    7       3.664833974979e-01       2.671209038274e-06       4.627280173886e-06      -1.234394403628e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    8       3.685359339661e-01       2.313717891242e-06       3.463735220842e-06      -1.225430270204e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
    9       3.710363682862e-01       2.444065761149e-06       3.004084080682e-06      -1.282193358520e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   10       3.736204689452e-01       2.868313540335e-06       3.050320350976e-06      -1.402226917791e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   11       3.760846750411e-01       3.440320006831e-06       3.417633634234e-06      -1.573847346412e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   12       3.783174876034e-01       4.081234684223e-06       3.969131639688e-06      -1.785894773830e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   13       3.802621692541e-01       4.762080665781e-06       4.620059172317e-06      -2.030618318025e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   14       3.818949598779e-01       5.478347124780e-06       5.326678429313e-06      -2.303580563920e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   15       3.832128172957e-01       6.232349900609e-06       6.070657922188e-06      -2.602709724200e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   16       3.842243380942e-01       7.025417921355e-06       6.846219256832e-06      -2.927285491413e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   17       3.849416031343e-01       7.856794040105e-06       7.651958021491e-06      -3.277032726814e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   18       3.853761483900e-01       8.724403709981e-06       8.487503865136e-06      -3.651524858206e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   19       3.855398540076e-01       9.626126458412e-06       9.352359475088e-06      -4.050034666793e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   20       3.854468109588e-01       1.056048505188e-05       1.024580143376e-05      -4.471601943926e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   21       3.851130203619e-01       1.152687698945e-05       1.116691945654e-05      -4.915123387009e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   22       3.845544567473e-01       1.252557339421e-05       1.211446912948e-05      -5.379382630994e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   23       3.837854072026e-01       1.355711433158e-05       1.308706160240e-05      -5.863059964972e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   24       3.828179388544e-01       1.462174977315e-05       1.408326410355e-05      -6.364781354655e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
   25       3.816621769578e-01       1.571920273860e-05       1.510152822378e-05      -6.883146537997e-04       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00 
